StoreName,StoreEmail,ZipCode,CreditCardNumber,PurchaseAmount,MeatSales,FruitSales,ClothingSales,StoreID
LocalClothingInc,localclothing@emailexmaple.com,94657,100010001,2000,10,20,30,USCARSORCL8
GottoGoclothingInc,gclothes@emailexample.com,94657,100010002,5003,2000,10,20,UKLOXXORCL6
SentrinCarsInc,selectric@example.com,94657,100010003,8000,2000,10,20,UKLOXXORCL4
YumYumDonutsInc,yum@emailexample.com,94657,100010004,1500,2000,10,20,FRAPAREDF01
VibrantClothingCo,vclothing@emailexample.com,94657,100010005,600,2000,10,20,ITROMETELI5
FahscoffeeCo,somacoffee@emailexample.com,94657,100010006,1400,2000,10,20,UKLOXXORCL7
GoodsInc,biggerburger@emailexample.com,94657,100010007,900,2000,10,20,UKLOXXORCL8
HelioSourceInc,smart@emailexample.com,94657,100010008,3000,2000,10,20,ITROMETELI5
IndigoInc,calcoffee@emailexample.com,94657,100010009,1200,2000,10,20,UKLOXXORCL6
JohnsonFoodsInc,coffeesack@emailexample.com,94657,100010010,6300,2000,10,20,FRAPAREDF01
VibrantClothingCo,vclothing@emailexample.com,94657,100010005,600,2000,10,20,ITROMETELI5
LocalClothingInc,localclothing@emailexmaple.com,94657,100010001,2000,10,20,30,USCARSORCL8
VibrantClothingCo,vclothing@emailexample.com,94657,100010005,600,2000,10,18,ITROMETELI5
LocalClothingInc,localclothing@emailexmaple.com,94657,100010001,2000,10,20,30,USCARSORCL8
VibrantClothingCo,vclothing@emailexample.com,94657,100010005,600,2000,10,17,ITROMETELI5
LocalClothingInc,localclothing@emailexmaple.com,94657,100010001,2000,10,20,30,USCARSORCL8
VibrantClothingCo,vclothing@emailexample.com,94657,100010005,600,2000,10,15,ITROMETELI5
GottoGoclothingInc,gclothes@emailexample.com,94657,100010002,5003,2000,10,20,UKLOXXORCL6
SentrinCarsInc,selectric@example.com,94657,100010003,8000,2000,10,20,UKLOXXORCL4
YumYumDonutsInc,yum@emailexample.com,94657,100010004,1500,2000,10,20,FRAPAREDF01
VibrantClothingCo,vclothing@emailexample.com,94657,100010005,600,2000,10,13,ITROMETELI5
GottoGoclothingInc,gclothes@emailexample.com,94657,100010002,5003,2000,10,20,UKLOXXORCL6
SentrinCarsInc,selectric@example.com,94657,100010003,8000,2000,10,20,UKLOXXORCL4
YumYumDonutsInc,yum@emailexample.com,94657,100010004,1500,2000,10,20,FRAPAREDF01
VibrantClothingCo,vclothing@emailexample.com,94657,100010005,600,2000,10,11,ITROMETELI5
LocalClothingInc,localclothing@emailexmaple.com,94657,100010001,2000,10,20,30,USCARSORCL8
VibrantClothingCo,vclothing@emailexample.com,94657,100010005,600,2000,10,10,ITROMETELI5
LocalClothingInc,localclothing@emailexmaple.com,94657,100010001,2000,10,20,30,USCARSORCL8
VibrantClothingCo,vclothing@emailexample.com,94657,100010005,600,2000,10,9,ITROMETELI5
LocalClothingInc,localclothing@emailexmaple.com,94657,100010001,2000,10,20,30,USCARSORCL8
VibrantClothingCo,vclothing@emailexample.com,94657,100010005,600,2000,10,7,ITROMETELI5
GottoGoclothingInc,gclothes@emailexample.com,94657,100010002,5003,2000,10,20,UKLOXXORCL6
SentrinCarsInc,selectric@example.com,94657,100010003,8000,2000,10,20,UKLOXXORCL4
YumYumDonutsInc,yum@emailexample.com,94657,100010004,1500,2000,10,20,FRAPAREDF01
LocalClothingInc,localclothing@emailexmaple.com,94657,100010001,2000,10,20,30,USCARSORCL8
VibrantClothingCo,vclothing@emailexample.com,94657,100010005,600,2000,10,6,ITROMETELI5
LocalClothingInc,localclothing@emailexmaple.com,94657,100010001,2000,10,20,30,USCARSORCL8
GottoGoclothingInc,gclothes@emailexample.com,94657,100010002,5003,2000,10,20,UKLOXXORCL6
SentrinCarsInc,selectric@example.com,94657,100010003,8000,2000,10,20,UKLOXXORCL4
YumYumDonutsInc,yum@emailexample.com,94657,100010004,1500,2000,10,20,FRAPAREDF01
VibrantClothingCo,vclothing@emailexample.com,94657,100010005,600,2000,10,3,ITROMETELI5
GottoGoclothingInc,gclothes@emailexample.com,94657,100010002,5003,2000,10,200,UKLOXXORCL6
GottoGoclothingInc,gclothes@emailexample.com,94657,100010002,5003,2000,10,198,UKLOXXORCL6
SentrinCarsInc,selectric@example.com,94657,100010003,8000,2000,10,20,UKLOXXORCL4
YumYumDonutsInc,yum@emailexample.com,94657,100010004,1500,2000,10,20,FRAPAREDF01
GottoGoclothingInc,gclothes@emailexample.com,94657,100010002,5003,2000,10,178,UKLOXXORCL6
SentrinCarsInc,selectric@example.com,94657,100010003,8000,2000,10,20,UKLOXXORCL4
YumYumDonutsInc,yum@emailexample.com,94657,100010004,1500,2000,10,20,FRAPAREDF01
GottoGoclothingInc,gclothes@emailexample.com,94657,100010002,5003,2000,10,167,UKLOXXORCL6
GottoGoclothingInc,gclothes@emailexample.com,94657,100010002,5003,2000,10,156,UKLOXXORCL6
GottoGoclothingInc,gclothes@emailexample.com,94657,100010002,5003,2000,10,147,UKLOXXORCL6
SentrinCarsInc,selectric@example.com,94657,100010003,8000,2000,10,20,UKLOXXORCL4
YumYumDonutsInc,yum@emailexample.com,94657,100010004,1500,2000,10,20,FRAPAREDF01
GottoGoclothingInc,gclothes@emailexample.com,94657,100010002,5003,2000,10,123,UKLOXXORCL6
GottoGoclothingInc,gclothes@emailexample.com,94657,100010002,5003,2000,10,110,UKLOXXORCL6
SentrinCarsInc,selectric@example.com,94657,100010003,8000,2000,10,20,UKLOXXORCL4
YumYumDonutsInc,yum@emailexample.com,94657,100010004,1500,2000,10,20,FRAPAREDF01
GottoGoclothingInc,gclothes@emailexample.com,94657,100010002,5003,2000,10,106,UKLOXXORCL6
GottoGoclothingInc,gclothes@emailexample.com,94657,100010002,5003,2000,10,89,UKLOXXORCL6
SentrinCarsInc,selectric@example.com,94657,100010003,8000,2000,10,20,UKLOXXORCL4
YumYumDonutsInc,yum@emailexample.com,94657,100010004,1500,2000,10,20,FRAPAREDF01
GottoGoclothingInc,gclothes@emailexample.com,94657,100010002,5003,2000,10,30,UKLOXXORCL6
