DeviceID,ErrorCode,ErrorDescription,DataValue
USCARSORCL8,0000,Devices in Healthy State from heartB,0000
USCARSORCL6,0000,Devices in Healthy State from heartB,0000
UKLOXXORCL6,0000,Devices in Healthy State from heartB,0000
UKLOXXORCL4,0000,Devices in Healthy State from heartB,0000
FRAPAREDF01,0000,Devices in Healthy State from heartB,0000
ITROMETELI5,0000,Devices in Healthy State from heartB,0000
UKLOXXORCL7,0000,Devices in Healthy State from heartB,0000
UKLOXXORCL8,0000,Devices in Healthy State from heartB,0000
USCARSORCL8,0000,Devices in Healthy State from heartB,0000
USCARSORCL6,0000,Devices in Healthy State from heartB,0000
UKLOXXORCL6,0000,Devices in Healthy State from heartB,0000
UKLOXXORCL4,0000,Devices in Healthy State from heartB,0000
FRAPAREDF01,0000,Devices in Healthy State from heartB,0000
ITROMETELI5,0000,Devices in Healthy State from heartB,0000
UKLOXXORCL7,0000,Devices in Healthy State from heartB,0000
UKLOXXORCL8,0000,Devices in Healthy State from heartB,0000
UKLOXXORCL6,001A,Temp... indicator has been triggered,0085
UKLOXXORCL4,001A,Temp... indicator has been triggered,0085
FRAPAREDF01,5100,Unable to handl Document Jammed UNIT,0003
UKLOXXORCL6,001A,Temp... indicator has been triggered,0085
ITROMETELI5,7B90,Drive Motor Malfunction detected HDR,8979
UKLOXXORCL7,001A,Temp... indicator has been triggered,0085
UKLOXXORCL8,001A,Temp... indicator has been triggered,0085
ITROMETELI5,7B90,Drive Motor Malfunction detected HDR,8979
ITROMETELI5,7B90,Drive Motor Malfunction detected HDR,8979
ITROMETELI5,7B90,Drive Motor Malfunction detected HDR,8979
FRAPAREDF01,5100,Unable to handl Document Jammed UNIT,0003
FRAPAREDF01,5100,Unable to handl Document Jammed UNIT,0003
ITROMETELI1,6A95,Mechn rotation element spike failure,9000
ITROMETELI1,6A95,Mechn rotation element spike failure,9000
ITROMETELI1,6A95,Mechn rotation element spike failure,9000
ITROMETELI1,6A95,Mechn rotation element spike failure,9000
ITROMETELI1,6A95,Mechn rotation element spike failure,9000
FRAPAREDF01,5100,Unable to handl Document Jammed UNIT,0003
FRAPAREDF01,5100,Unable to handl Document Jammed UNIT,0003
FRAPAREDF01,5100,Unable to handl Document Jammed UNIT,0003
ITROMETELI5,7B90,Drive Motor Malfunction detected HDR,8979
ITROMETELI5,7B90,Drive Motor Malfunction detected HDR,8979
UKLOXXORCL8,001A,Temp... indicator has been triggered,0085
UKLOXXORCL8,001A,Temp... indicator has been triggered,0085
ITROMETELI1,6A80,Malfunction detected in Cyclinder Un,9999
USCARSORCL8,0000,Devices in Healthy State from heartB,0000
ITROMETELI1,6A95,Mechn rotation element spike failure,9000
ITROMETELI1,6A95,Mechn rotation element spike failure,9000
ITROMETELI1,6A95,Mechn rotation element spike failure,9000
USCARSORCL6,001A,Temp... indicator has been triggered,0080
USCARSORCL8,0000,Devices in Healthy State from heartB,0000
USCARSORCL6,001A,Temp... indicator has been triggered,0070
USCARSORCL8,0000,Devices in Healthy State from heartB,0000
ITROMETELI5,7B90,Drive Motor Malfunction detected HDR,8979
ITROMETELI5,7B90,Drive Motor Malfunction detected HDR,8979
ITROMETELI1,6A95,Mechn rotation element spike failure,9000
